32 species	
14	OH+      e-                O        H                  3.75e-08   -0.50       0.0
15	CH5+     e-                CH3      H2                 5.50e-07   -0.30       0.0
16	CH5+     e-                CH4      H                  5.50e-07   -0.30       0.0
17	H2O+     e-                O        H        H         2.45e-07   -0.50       0.0   
18	H2O+     e-                O        H2                 3.60e-08   -0.50       0.0   
19	H2O+     e-                OH       H                  7.92e-08   -0.50       0.0   
20	H3O+     e-                O        H2       H         5.59e-09   -0.50       0.0   
21	H3O+     e-                OH       H        H         2.58e-07   -0.50       0.0   
22	H3O+     e-                OH       H2                 6.45e-08   -0.50       0.0   
23	H3O+     e-                H2O      H                  1.08e-07   -0.50       0.0   
24	CO+      e-                O        C                  2.00e-07   -0.48       0.0
25	HCO+     e-                CO       H                  1.10e-07   -1.00       0.0
26	O2+      e-                O        O                  1.95e-07   -0.70       0.0
27	H+       e-                H        PHOTON             3.50e-12   -0.75       0.0
28	He+      e-                He       PHOTON             2.36e-12   -0.64       0.0
29	C+       e-                C        PHOTON             4.67e-12   -0.60       0.0
30	CH3+     e-                CH3      PHOTON             1.10e-10   -0.50       0.0
31	O+       e-                O        PHOTON             3.24e-12   -0.66       0.0

Radiative association reactions

1	H+       H                 H2+      PHOTON             5.13e-19    1.85       0.0
2	H        C                 CH       PHOTON             1.00e-17    0.00       0.0
3	H        C+                CH+      PHOTON             1.70e-17    0.00       0.0
4	H        O                 OH       PHOTON             9.90e-19   -0.38       0.0
5	H        OH                H2O      PHOTON             5.26e-18   -5.22      90.0
6	H2       C                 CH2      PHOTON             1.00e-17    0.00       0.0
7	H2       C+                CH2+     PHOTON             4.00e-16   -0.20       0.0
8	H2       CH                CH3      PHOTON             5.09e-18   -0.71      11.6
9	H2       CH3+              CH5+     PHOTON             1.30e-14   -1.00       0.0
10	C        O                 CO       PHOTON             2.10e-19    0.00       0.0
11	C+       O                 CO+      PHOTON             2.50e-18    0.00       0.0
12	O        O                 O2       PHOTON             4.90e-20    1.58       0.0

Photo-ionization reactions

1	H2+      PHOTON            H+       H                  5.70e-10    0.00       1.9
2	H3+      PHOTON            H2+      H                  5.00e-13    0.00       2.3
3	H3+      PHOTON            H2       H+                 5.00e-13    0.00       1.8
4	C        PHOTON            C+       e-                 3.00e-10    0.00       3.0
5	CH       PHOTON            CH+      e-                 7.60e-10    0.00       2.8
6	CH       PHOTON            C        H                  8.60e-10    0.00       1.2
7	CH+      PHOTON            C+       H                  2.50e-10    0.00       2.5
8	CH2      PHOTON            CH2+     e-                 1.00e-09    0.00       2.3
9	CH2      PHOTON            CH       H                  7.20e-10    0.00       1.7
10	CH2+     PHOTON            CH+      H                  1.70e-09    0.00       1.7
11	CH3      PHOTON            CH3+     e-                 1.00e-10    0.00       2.1
12	CH3      PHOTON            CH2      H                  2.50e-10    0.00       1.9
13	CH3+     PHOTON            CH2+     H                  1.00e-09    0.00       1.7
14	CH3      PHOTON            CH       H2                 2.50e-10    0.00       1.9
15	CH3+     PHOTON            CH+      H2                 1.00e-09    0.00       1.7
16	CH4      PHOTON            CH3      H                  2.20e-10    0.00       2.2
17	CH4      PHOTON            CH2      H2                 9.80e-10    0.00       2.2
18	CH4      PHOTON            CH       H2       H         2.20e-10    0.00       2.2
19	OH       PHOTON            OH+      e-                 1.60e-12    0.00       3.1
20	OH       PHOTON            O        H                  3.50e-10    0.00       1.7
21	OH+      PHOTON            O        H+                 1.00e-12    0.00       1.8
22	H2O      PHOTON            OH       H                  5.90e-10    0.00       1.7
23	H2O      PHOTON            H2O+     e-                 3.30e-11    0.00       3.9
24	CO       PHOTON            O        C                  2.00e-10    0.00       2.5
25	O2       PHOTON            O        O                  6.90e-10    0.00       1.8
26	O2       PHOTON            O2+      e-                 5.60e-11    0.00       3.7

Cosmic ray reactions

1	H        CRP               H+       e-                 5.98e-18    0.00       0.0
2	H2       CRP               H+       H        e-        2.20e-19    0.00       0.0
3	H2       CRP               H        H                  1.30e-18    0.00       0.0
4	H2       CRP               H2+      e-                 1.20e-17    0.00       0.0
5	He       CRP               He+      e-                 6.50e-18    0.00       0.0
6	C        CRP               C+       e-                 2.30e-17    0.00       0.0
7	O        CRP               O+       e-                 3.40e-17    0.00       0.0
8	CO       CRP               CO+      e-                 3.90e-17    0.00       0.0
9	C        CRPHOT            C+       e-                 1.30e-17    0.00     510.0
10	CH       CRPHOT            C        H                  1.30e-17    0.00     756.0
11	CH+      CRPHOT            C+       H                  1.30e-17    0.00     183.0
12	CH2      CRPHOT            CH2+     e-                 1.30e-17    0.00     500.0
13	CH2      CRPHOT            CH       H                  1.30e-17    0.00     500.0
14	CH3      CRPHOT            CH3+     e-                 1.30e-17    0.00     500.0
15	CH3      CRPHOT            CH2      H                  1.30e-17    0.00     500.0
16	CH3      CRPHOT            CH       H2                 1.30e-17    0.00     500.0
17	CH4      CRPHOT            CH2      H2                 1.30e-17    0.00    2272.0
18	OH       CRPHOT            O        H                  1.30e-17    0.00     522.0
19	H2O      CRPHOT            OH       H                  1.30e-17    0.00     979.0
20	CO       CRPHOT            O        C                  1.30e-17    1.17      10.0
21	O2       CRPHOT            O        O                  1.30e-17    0.00     730.0
22	O2       CRPHOT            O2+      e-                 1.30e-17    0.00      88.0

Reactions with an activation barrier

1	H        H2                H        H        H         4.67e-07   -1.00   55000.0
2	H        CH                C        H        H         6.00e-09    0.00   40200.0
3	H        OH                O        H        H         6.00e-09    0.00   50900.0
4	H        H2O               OH       H        H         5.80e-09    0.00   52900.0
5	H        O2                O        O        H         6.00e-09    0.00   52300.0
6	H2       e-                H        H        e-        3.22e-09    0.35  102000.0
7	H2       H2                H2       H        H         1.00e-08    0.00   84100.0
8	H2       CH                C        H2       H         6.00e-09    0.00   40200.0
9	H2       OH                O        H2       H         6.00e-09    0.00   50900.0
10	H2       H2O               OH       H2       H         5.80e-09    0.00   52900.0
11	H2       O2                O        O        H2        6.00e-09    0.00   52300.0
12	CH       O                 HCO+     e-                 2.00e-11    0.44       0.0
